product_id,product_name,product_name_toLowerCase,supermarket,category_1,category_2,category_3,category_4,price,price_bs,stock
60006593,DETERGENTE EN POLVO REGULAR MULTI CLEAN 900 GR,detergente en polvo regular multi clean 900 gr,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,2.75,272.4975,394
60003183,CLORO REGULAR NEVEX ULTRA 1 L,cloro regular nevex ultra 1 l,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.55,351.7695,65
60003185,CLORO ULTRA LIMON NEVEX 1 LT,cloro ultra limon nevex 1 lt,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.79,375.5511,64
60004146,CLORO ULTRA NEVEX AROMA BEBÉ 1 LT,cloro ultra nevex aroma bebé 1 lt,2,Limpieza,Cuidado de prendas,Blanqueador y cloro,,3.79,375.5511,36
60006923,DETERGENTE EN POLVO OXY 1 KG,detergente en polvo oxy 1 kg,2,Limpieza,Cuidado de prendas,Detergente,Detergente en polvo y panela,3.39,335.9151,125
60004246,SUAVIZANTE BABY SUAVITEL 1.9 LT,suavizante baby suavitel 1.9 lt,2,Limpieza,Cuidado de prendas,Suavizante,,8.99,890.8191,50
60006346,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 1 LT,suavizante fresca primavera suavitel 1 lt,2,Limpieza,Cuidado de prendas,Suavizante,,4.99,494.4591,39
60007004,SUAVIZANTE BABY SUAVITEL 1 LT,suavizante baby suavitel 1 lt,2,Limpieza,Cuidado de prendas,Suavizante,,4.29,425.0961,39
60005021,SUAVIZANTE FRESCA PRIMAVERA SUAVITEL 2 L,suavizante fresca primavera suavitel 2 l,2,Limpieza,Cuidado de prendas,Suavizante,,7.45,738.2205,133
60007156,SUAVIZANTE CUIDADO SUPERIOR SUAVITEL 970 ML,suavizante cuidado superior suavitel 970 ml,2,Limpieza,Cuidado de prendas,Suavizante,,4.99,494.4591,47
60004393,SUAVIZANTE VAINILLA CUIDADO SUPERIOR SUAVITEL 1.9 LT,suavizante vainilla cuidado superior suavitel 1.9 lt,2,Limpieza,Cuidado de prendas,Suavizante,,8.99,890.8191,23
60004386,SUAVIZANTE SUAVITEL FRESCA PRIMAVERA 1 LT,suavizante suavitel fresca primavera 1 lt,2,Limpieza,Cuidado de prendas,Suavizante,,4.25,421.1325,328
60005744,DETERGENTE LÍQUIDO LIMÓN VALE 1 LT,detergente líquido limón vale 1 lt,2,Limpieza,Cuidado de prendas,Detergente,Detergente líquido,5.75,569.7675,41
